fine_label	utterance
UNK:UNK	Aqui está nossa previsão
UNK:UNK	Viajar para uma reunião de negócios tira a diversão da viagem. Principalmente se você tiver que preparar uma apresentação. Eu sugeriria realizar reuniões de plano de negócios aqui e depois fazer uma viagem sem reuniões formais de negócios. Eu até tentaria obter algumas opiniões honestas sobre se uma viagem é desejada ou necessária. No que diz respeito às reuniões de negócios, penso que seria mais produtivo tentar estimular discussões entre os diferentes grupos sobre o que funciona e o que não funciona. Muitas vezes o apresentador fala e os outros ficam calados apenas esperando a sua vez. As reuniões podem ser melhores se forem realizadas em formato de mesa redonda. Minha sugestão de onde ir é Austin. Jogue golfe e alugue um barco de esqui e jet skis. Voar para algum lugar leva muito tempo.
UNK:UNK	teste bem-sucedido. caminho a percorrer!!!
UNK:UNK	Randy, você pode me enviar uma tabela de salário e nível de todos no grupo de agendamento. Além de sua opinião sobre quaisquer alterações que precisam ser feitas. (Patti S por exemplo) Phillip
UNK:UNK	Vamos filmar para terça-feira às 11h45.
UNK:UNK	Greg, que tal na próxima terça ou quinta? Filipe
UNK:UNK	Por favor, envie uma cópia para a seguinte lista de distribuição com atualizações: Phillip Allen (pallen@enron.com) Mike Grigsby (mike.grigsby@enron.com) Keith Holst (kholst@enron.com) Monique Sanchez Frank Ermis John Lavorato Obrigado por sua ajuda Phillip Allen
UNK:UNK	qualquer manhã entre 10 e 11h30
UNK:UNK	1. login: pallen pw: ke9davis Não acho que isso seja exigido pelo ISP 2. endereço IP estático IP: 64.216.90.105 Sub: 255.255.255.248 portão: 64.216.90.110 DNS: 151.164.1.8 3. Empresa: 0413 RC: 105891
UNK:UNK	Encaminhado por Phillip K Allen/HOU/ECT em 16/10/2000 13h42 ----- Buckner, Buck <buck.buckner@honeywell.com> em 12/10/2000 13h12:21 Para: Pallen@Enron.com <Pallen@Enron.com> cc: Assunto: FW: termo fixo ou outros termos de preço de gás de colarinho Phillip, > Conforme discutido durante nossa conversa por telefone, Em uma microturbina Parallon 75 > acordo de geração de energia para contas nacionais cliente, estou desenvolvendo uma proposta para vender energia ao cliente a preço fixo ou preço mínimo. Para fazer isso, preciso de um preço de gás de prazo correspondente para o mesmo. A microturbina é um produto de geração local desenvolvido pela Honeywell para gerar eletricidade nas instalações do cliente (degen). usando gás natural. Ao fazer isso, preciso do seu melhor acordo de preço fixo de gás a prazo por 1, 3, 5, 7 e 10 anos para fornecimento anual/sazonal para microturbinas para gerar kWh fixo para o cliente. Temos a oportunidade de vender kWh aos clientes usando microturbinas ou vender-lhes as próprias turbinas. O acordo de kWh deve ter um preço de gás futuro limitado/> sem risco para que o acordo funcione. Aí vem a energia Sempra> negociação de gás, verdadeiramente você. >> Estamos propondo a instalação de 180 a 240 unidades em um grande número de lojas (60 a 100) em San Diego. > O número de lojas varia devido aos obstáculos de instalação enfrentados em uma pequena porcentagem. > > Durante 6 a 8 horas por dia Tempo de funcionamento da microturbina: > Necessidade de gás para 180 microturbinas 227 - 302 MMcf por ano > Necessidade de gás para 240 microturbinas 302 - 403 MMcf por ano > > O gás provavelmente será consumido de maio a setembro, durante pico > período elétrico. > Preço do gás necessário: Preço do queimador atrás (LDC) San Diego Gas & Electric > Necessita detalhamento dos custos de commodities e transporte (firme ou > interrompível). >> Se você tiver dúvidas adicionais, ligue para mim. > Garanto a você, isso é real!! >> Buck Buckner, P.E., MBA > Gerente, Desenvolvimento e Planejamento de Negócios > Big Box Retail Sales > Honeywell Power Systems, Inc. > 8725 Pan American Frwy > Albuquerque, NM 87113 > 505-798-6424 > 505-798-6050x > 505-220-4129 > 888/501-3145 >
UNK:UNK	Sr. Buckner, Para o gás entregue atrás de San Diego, a Enron Energy Services é a entidade apropriada da Enron. Encaminhei sua solicitação para Zarin Imam da EES. O número de telefone dela é 713-853-7107. Phillip Allen
UNK:UNK	Lucy, aqui estão os rentrolls: abra-os e salve-os na pasta rentroll. Siga estas etapas para não perder esses arquivos. 1. Clique em Salvar como 2. Clique no triângulo suspenso em Salvar em: 3. Clique na unidade (C): 4. Clique na pasta apropriada 5. Clique em Salvar: Phillip
